Symposia Name,Country Held,Region of world,Year,ISTS_Lifetime_AwardWinner ,ISTS_Lifetime_AwardRegion ,ISTS_Lifetime_Global_south,ISTS_Global_North,Countires in Attendance ,"Countries from ""Global South""","Coun tries in ""G77""",Percent of countires in attendance
ISTS1,U.S. ,Global North,1981,NA,NA,NA,NA,,,,
ISTS2,U.S. ,Global North,1982,NA,NA,NA,NA,,,,
ISTS3,U.S. ,Global North,1983,NA,NA,NA,NA,,,,
ISTS4,U.S. ,Global North,1984,NA,NA,NA,NA,,,,
ISTS5,U.S. ,Global North,1985,NA,NA,NA,NA,,,,
ISTS6,U.S. ,Global North,1986,NA,NA,NA,NA,,,,
ISTS7,U.S. ,Global North,1987,NA,NA,NA,NA,,,,
ISTS8,U.S. ,Global North,1988,NA,NA,NA,NA,,,,
ISTS9,U.S. ,Global North,1989,NA,NA,NA,NA,,,,
ISTS10,U.S. ,Global North,1990,NA,NA,NA,NA,,,,
ISTS11,U.S. ,Global North,1991,NA,NA,NA,NA,,,,
ISTS12,U.S. ,Global North,1992,NA,NA,NA,NA,,,,
ISTS13,U.S. ,Global North,1993,NA,NA,NA,NA,,,,
ISTS14,U.S. ,Global North,1994,NA,NA,NA,NA,,,,
ISTS15,U.S. ,Global North,1995,NA,NA,NA,NA,,,,
ISTS16,U.S. ,Global North,1996,NA,NA,NA,NA,3,1,1,33.33333333
ISTS17,U.S. ,Global North,1997,NA,NA,NA,NA,37,22,22,59.45945946
ISTS18,Mexico,Global South,1998,NA,NA,NA,NA,43,,,
ISTS19,U.S. ,Global North,1999,NA,NA,NA,NA,24,,,
ISTS20,U.S. ,Global North,2000,NA,NA,NA,NA,67,,,
ISTS21,U.S. ,Global North,2001,NA,NA,NA,NA,57,,,
ISTS22,U.S. ,Global North,2002,NA,NA,NA,NA,73,,,
ISTS23,Malaysia,Global South,2003,NA,NA,NA,NA,73,,,
ISTS24,Costa Rica,Global South,2004,NA,NA,NA,NA,78,,,
ISTS25,U.S. ,Global North,2005,NA,NA,NA,NA,70,,,
ISTS26,Greece,Global North,2006,NA,NA,NA,NA,NA,,,
ISTS27,U.S. ,Global North,2007,NA,NA,NA,NA,80,,,
ISTS28,Mexico,Global South,2008,Colin Limpus and Nicholas Mrosovsky,"Australia, Romania",0,2,NA,,,
ISTS29,Australia,Global North,2009,"George Hughes, Jack Frazier, and Archie Carr (posthumously)","South Africa/UK, U.S., ",1,2,60,,,
ISTS30,India,Global South,2010,Dimitris Margaritoulis,Greece,0,1,NA,,,
ISTS31,U.S. ,Global North,2011,"Peter C. H. Pritchard, Karen Bjorndal, and Sally Murphy","UK, U.S. ",0,3,NA,,,
ISTS32,Mexico,Global South,2012,"George Balazs, James Spotila, and Llew (Doc) Ehrhart",U.S. ,0,3,NA,,,
ISTS33,U.S. ,Global North,2013,Jack Woody,U.S. ,0,1,67,,,
ISTS34,U.S. ,Global North,2014,"Anne Meylan, Jim Richardson, and Frank Paladino",U.S. ,0,3,73,,,
ISTS35,Türkiye,Global South,2015,Henk Reichart and Lily Venizelos,"Netherlands, Greece",0,2,80,,,
ISTS36,Peru,Global South,2016,"Earl Possardt, Jeanne Mortimer, and Dave Owens",U.S. ,0,3,52,,,
ISTS37,U.S. ,Global North,2017,"Jack Musick, Marydele Donnelly, Fehmida Firdous, Jean Beasely","U.S., Pakistan",1,1,NA,,,
ISTS38,Japan,Global North,2018,"Donna Shaver, Hiroyuki Suganuma, Maria Ângela (Neca) Marcovaldi, and Naoki Kamezaki","U.S., Japan, Brazil, Japan",1,3,NA,,,
ISTS39,U.S. ,Global North,2019,"Eng Heng Chan, René Márquez-Millán, Jeffrey Miller, and Michael Salmon","Malaysia, Mexico, U.S.",2,2,NA,,,
ISTS40,Australia,Na,2020,"Larry Crowder, Karen Eckert, and Barbara Schroeder",U.S. ,0,2,85,,,
NA,NA,Na,2022,Alan Bolten,U.S. ,0,1,NA,,,
ISTS41,Colombia,Global South,2023,"Jacques Fretey, Kenneth J. Lohmann, and Fernando Manzano “Papá Tortuga”","France, U.S., Mexico",1,2,,,,
ISTS42,Thailand,Global South,2024,Kellie Pendoley and Anders Rhodin,"Australia, U.S. ",0,2,,,,